name,description,category,organization,country,location,notes_location,start_date,end_date,notes_duration,data_accessibility,accessibility_for_research,project_information_url,data_url
Er zit muziek in de crowd,Citizens help digitalize music written for radio or television from 1930 to 1980. ,History,Stichting Omroep Muziek,The Netherlands,,,2019.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/som_index,https://www.muziekschatten.nl/omroepmuziek#eyJ0eXBlIjoibGlzdCIsImF2YWlsYWJpbGl0eSI6W10sImNvbXBvc2VyIjpbXSwiY2F0ZWdvcnkiOltdLCJnZW5yZSI6W10sImNvbGxlY3Rpb24iOltdLCJpbnN0cnVtZW50IjpbXSwiZmFjZXRzIjp7ImF2YWlsYWJpbGl0eSI6eyJ0ZXJtcyI6eyJmaWVsZCI6ImF2YWlsYWJpbGl0eSIsInNpemUiOjEwMH19LCJjb21wb3NlciI6eyJ0ZXJtcyI6eyJmaWVsZCI6ImNvbXBvc2VyIiwic2l6ZSI6MTAwfX0sImNhdGVnb3J5Ijp7InRlcm1zIjp7ImZpZWxkIjoiY2F0ZWdvcnkiLCJzaXplIjoxMDB9fSwiZ2VucmUiOnsidGVybXMiOnsiZmllbGQiOiJnZW5yZSIsInNpemUiOjEwMH19LCJjb2xsZWN0aW9uIjp7InRlcm1zIjp7ImZpZWxkIjoiY29sbGVjdGlvbiIsInNpemUiOjEwMH19LCJ1bmRlZmluZWQiOnsidGVybXMiOnt9fX19
Thuis in Terneuzen,"Citizens help index scans of population registers from Terneuzen, Axel and Sas van Gent between 1812 and 1900.",History,Zeeuws Archief,The Netherlands,,,2018.0,2020,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/picvh_zar_index_terneuzenaxel,https://www.zeeuwsarchief.nl/onderzoek-het-zelf/
Diamantbewerkers Amsterdam,Citizens help index membership registers from the union for diamond workers from 1894 on up.,History,Internationaal Instituut voor Sociale Geschiedenis,The Netherlands,,,2018.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/mbi,https://search.iisg.amsterdam/Record/ARCH00210
Tot uw Dienst!,Citizens help index retirement cards from people that have worked for the municipality of Amsterdam.,History,Stadsarchief Amsterdam,The Netherlands,,,2015.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/amsterdam_pensioen,https://archief.amsterdam/uitleg/indexen/41-pensioenkaarten-1894-1915?utm_source=OpenArchieven&utm_medium=browser&utm_campaign=OpenData
Officiersboekjes Nationaal Militair Museum 1811 - 1940,Citizens help transcribe books of officers in service between 1811 and 1940. ,History,Nationaal Militair Museum ,The Netherlands,,,2013.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/legermuseum,-
Bevolkingsregisters Amsterdam 1853 - 1863,Citizens help index scans of population registers from Amsterdam between 1853 and 1863.,History,Stadsarchief Amsterdam,The Netherlands,,,2015.0,2017,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/amsterdam_13442,https://archief.amsterdam/indexen/persons
Compareerden voor mij,Citizens transcribe notary deeds from notaries from Westfriesland between 1843 and 1915. ,History,Westfries Archief,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/wfg_transcription_notarieel,-
Amsterdamse Doodsoorzaken 1854 – 1940,Citizens register the information on scans of cards regarding cause of death in Amsterdam betweeen 1854 and 1940.,History,Radboud University,The Netherlands,,,2016.0,2020,,No direct download,No,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/picvh_run,-
Geef de Belgische vluchtelingen in Gouda een naam,Citizens help index scans of registers containing the information of refugees from Belgium that came to Gouda during WWI.,History,Streekarchief Midden-Holland,The Netherlands,,,2018.0,2018,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/sahm_indexing_persons,https://www.samh.nl/
Nieuws! Lokale kronieken - 1500 - 1850,Citizens transcribe local chronicles made available by the Koninklijke Bibliotheek.,History,Leiden University and VU Amsterdam,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/vua_train_kronieken_transkribus,-
